Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption
Hydrogen,H,1,1.00794,0.0899 g/l[note],-259.14 °C,-252.87 °C,Gas,14.01 K,20.28 K,1.293 MPa (12.76 Atm),32.97 K,0.558 kJ/mol,0.452 kJ/mol,14300 J/(kg K)[note],7/5,N/A,0.1805 W/(m K),N/A,N/A,0.01121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000132,1270 m/s,1,2.2,72.8 kJ/mol,2.1,1966,RTECSMW8900000,None,s,1,1,Nonmetal,1s1,Colorless,Diatomic,CAS1333-74-0,CID783,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-2.48×10-8 m3/Kg,-4.999×10-11 m3/mol,-2.23×10-9,75%,75%,2.4%,0.15%,11%,10%,53 pm,31 pm,120 pm,P63/mmc,194,Stable,Stable,N/A,2S1/2,0.332,0.011
Helium,He,2,4.002602,0.1785 g/l[note],N/A[note],-268.93 °C,Gas,N/A[note],4.22 K,0.227 MPa (2.24 Atm),5.19 K,0.02 kJ/mol,0.083 kJ/mol,5193.1 J/(kg K)[note],5/3,N/A,0.1513 W/(m K),N/A,N/A,0.022424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000035,970 m/s,0,N/A,0 kJ/mol,2.2,1963,RTECSMH6520000,None,s,18,1,Noble Gas,1s2,Colorless,Monoatomic,CAS7440-59-7,CID23987,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-5.9×10-9 m3/Kg,-2.36×10-11 m3/mol,-1.05×10-9,23%,23%,N/A,5.5×10-7%,7.2×10-10%,N/A,31 pm,28 pm,140 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,0.007,0.00001
Lithium,Li,3,6.941,0.535 g/cm3,180.54 °C,1342 °C,Solid,453.69 K,1615 K,67 MPa (661.2 Atm)[note],3223 K[note],3 kJ/mol,147 kJ/mol,3570 J/(kg K)[note],N/A,N/A,85 W/(m K),0.000046 K-1,0.512 g/cm3,0.00001297,N/A,0.6,N/A,11 GPa,4.2 GPa,4.9 GPa,N/A,N/A,6000 m/s,1,0.98,59.6 kJ/mol,4.3,1415,RTECSOJ5540000,None,s,1,2,Alkali Metal,[He]2s1,Silver,N/A,CAS7439-93-2,CID3028194,Conductor,1.1×107 S/m,9.400000000002×10-8 m Ω,N/A,Paramagnetic,N/A,2.56×10-8 m3/Kg,1.78×10-10 m3/mol,0.0000137,6×10-7%,6×10-9%,0.00017%,0.0017%,0.000018%,3×10-6%,167 pm,128 pm,182 pm,"Im_
3m",229,Stable,Stable,N/A,2S1/2,71,N/A
Beryllium,Be,4,9.012182,1.848 g/cm3,1287 °C,2470 °C,Solid,1560 K,2743 K,N/A,N/A,7.95 kJ/mol,297 kJ/mol,1820 J/(kg K)[note],N/A,N/A,190 W/(m K),0.0000113 K-1,1.69 g/cm3,4.8767×10-6,600 MPa,5.5,1670 MPa,130 GPa,132 GPa,287 GPa,0.032,N/A,13000 m/s,2,1.57,0 kJ/mol,6.1,1567,RTECSDS1750000,None,s,2,2,Alkaline Earth Metal,[He]2s2,SlateGray,N/A,CAS7440-41-7,CID5460467,Conductor,2.5×107 S/m,3.999999999998×10-8 m Ω,0.026,Diamagnetic,N/A,-1.26×10-8 m3/Kg,-1.136×10-10 m3/mol,-0.00002328,1×10-7%,1×10-8%,2.9×10-6%,0.00019%,6×10-11%,4×10-8%,112 pm,96 pm,N/A,P63/mmc,194,Stable,Stable,N/A,1S0,0.0092,0.00003
Boron,B,5,10.811,2.46 g/cm3,2075 °C,4000 °C,Solid,2348 K,4273 K,N/A,N/A,50 kJ/mol,507 kJ/mol,1030 J/(kg K)[note],N/A,N/A,27 W/(m K),6×10-6 K-1,2.08 g/cm3,4.3943×10-6,N/A,9.3,49000 MPa,320 GPa,N/A,N/A,N/A,N/A,16200 m/s,3,2.04,26.7 kJ/mol,N/A,N/A,RTECSED7350000,None,p,13,2,Metalloid,[He]2s22p1,Black,N/A,CAS7440-42-8,CID5462311,Insulator,0.0001 S/m,10000 m Ω,N/A,Diamagnetic,N/A,-8.7×10-9 m3/Kg,-9.41×10-11 m3/mol,-0.0000214,1×10-7%,2×10-7%,0.00016%,0.00086%,0.00044%,0.00007%,87 pm,85 pm,N/A,"R_
3m",166,Stable,Stable,N/A,2P1/2,760,2.4
Carbon,C,6,12.0107,2.26 g/cm3[note],3550 °C[note],4027 °C[note],Solid,3823 K[note],4300 K[note],N/A,N/A,105 kJ/mol,715 kJ/mol,710 J/(kg K)[note],N/A,N/A,140 W/(m K),7.1×10-6 K-1[note],N/A,5.3146×10-6,N/A,0.5[note],N/A,33 GPa,N/A,N/A,N/A,2.417[note],18350 m/s,4,2.55,153.9 kJ/mol,4.2,1361,RTECSHL4158550,None,p,14,2,Nonmetal,[He]2s22p2,Black,N/A,CAS7440-44-0,CID5462310,Conductor[note],100000 S/m[note],0.00001 m Ω[note],N/A,Diamagnetic,N/A,-6.2×10-9 m3/Kg,-7.45×10-11 m3/mol,-0.000014,0.5%,0.3%,1.5%,0.18%,0.0028%,23%,67 pm,76 pm,170 pm,P63/mmc,194,Stable,Stable,N/A,3P0,0.0035,0.000015
Nitrogen,N,7,14.0067,1.251 g/l[note],-210.1 °C,-195.79 °C,Gas,63.05 K,77.36 K,3.39 MPa (33.46 Atm),126.21 K,0.36 kJ/mol,2.79 kJ/mol,1040 J/(kg K)[note],7/5,N/A,0.02583 W/(m K),N/A,N/A,0.011197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000298,333.6 m/s,3,3.04,7 kJ/mol,2.2,1977,RTECSQW9700000,None,p,15,2,Nonmetal,[He]2s22p3,Colorless,Diatomic,CAS7727-37-9,CID947,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-5.4×10-9 m3/Kg,-1.5×10-10 m3/mol,-6.8×10-9,0.1%,0.1%,0.14%,0.002%,0.00005%,2.6%,56 pm,71 pm,155 pm,P63/mmc,194,Stable,Stable,N/A,4S3/2,1.91,0.0048
Oxygen,O,8,15.9994,1.429 g/l[note],-218.3 °C,-182.9 °C,Gas,54.8 K,90.2 K,5.043 MPa (49.77 Atm),154.59 K,0.222 kJ/mol,3.41 kJ/mol,919 J/(kg K)[note],7/5,N/A,0.02658 W/(m K),N/A,N/A,0.011196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000271,317.5 m/s,2,3.44,141 kJ/mol,2.2,1073,RTECSRS2060000,None,p,16,2,Chalcogen,[He]2s22p4,Colorless,Diatomic,CAS7782-44-7,CID977,N/A,N/A,N/A,N/A,Paramagnetic,N/A,1.335×10-6 m3/Kg,4.27184×10-8 m3/mol,1.90772×10-6,1%,0.9%,40%,46%,86%,61%,48 pm,66 pm,152 pm,C12/m1,12,Stable,Stable,N/A,3P2,0.00028,1×10-6
Fluorine,F,9,18.9984032,1.696 g/l[note],-219.6 °C,-188.12 °C,Gas,53.5 K,85.03 K,5.172 MPa (51.04 Atm),144.13 K,0.26 kJ/mol,3.27 kJ/mol,824 J/(kg K)[note],7/5,N/A,0.0277 W/(m K),N/A,N/A,0.011202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000195,N/A,1,3.98,328 kJ/mol,2.3,9192,RTECSLM6475000,None,p,17,2,Halogen,[He]2s22p5,Colorless,Diatomic,CAS7782-41-4,CID24524,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00004%,0.00005%,0.0087%,0.054%,0.00013%,0.0037%,42 pm,57 pm,147 pm,C12/c1,15,Stable,Stable,N/A,2P3/2,0.0096,0.00002
Neon,Ne,10,20.1797,0.9 g/l[note],-248.59 °C,-246.08 °C,Gas,24.56 K,27.07 K,2.76 MPa (27.24 Atm),44.4 K,0.34 kJ/mol,1.75 kJ/mol,1030 J/(kg K)[note],5/3,N/A,0.0491 W/(m K),N/A,N/A,0.02242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000067,936 m/s,0,N/A,0 kJ/mol,2.2,1913,RTECSQP4450000,None,p,18,2,Noble Gas,[He]2s22p6,Colorless,Monoatomic,CAS7440-01-9,CID23935,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-4.1×10-9 m3/Kg,-8.27×10-11 m3/mol,-3.69×10-9,0.13%,0.1%,N/A,3×10-7%,1.2×10-8%,N/A,38 pm,58 pm,154 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,0.04,0.00059
Sodium,Na,11,22.98977,0.968 g/cm3,97.72 °C,883 °C,Solid,370.87 K,1156 K,35 MPa (345.4 Atm)[note],2573 K[note],2.6 kJ/mol,97.7 kJ/mol,1230 J/(kg K)[note],N/A,N/A,140 W/(m K),0.00007 K-1,0.927 g/cm3,0.00002375,0.69 MPa,0.5,N/A,6.3 GPa,3.3 GPa,10 GPa,N/A,N/A,3200 m/s,1,0.93,52.8 kJ/mol,4.3,1428,RTECSVY0686000,Natrium,s,1,3,Alkali Metal,[Ne]3s1,Silver,N/A,CAS7440-23-5,CID5360545,Conductor,2.1×107 S/m,4.699999999998×10-8 m Ω,N/A,Paramagnetic,N/A,8.8×10-9 m3/Kg,2×10-10 m3/mol,8.6×10-6,0.002%,0.004%,0.55%,2.3%,1.1%,0.14%,190 pm,166 pm,227 pm,"Im_
3m",229,Stable,Stable,N/A,2S1/2,0.53,0.0007
Magnesium,Mg,12,24.305,1.738 g/cm3,650 °C,1090 °C,Solid,923 K,1363 K,N/A,N/A,8.7 kJ/mol,128 kJ/mol,1020 J/(kg K)[note],N/A,N/A,160 W/(m K),0.0000248 K-1,1.584 g/cm3,0.000013984,260 MPa,2.5,N/A,45 GPa,17 GPa,45 GPa,0.29,N/A,4602 m/s,2,1.31,0 kJ/mol,4.1,2950,N/A,None,s,2,3,Alkaline Earth Metal,[Ne]3s2,Silver,N/A,CAS7439-95-4,CID5462224,Conductor,2.3×107 S/m,4.399999999999×10-8 m Ω,N/A,Paramagnetic,N/A,6.9×10-9 m3/Kg,1.68×10-10 m3/mol,0.000012,0.059%,0.07%,12%,2.9%,0.13%,0.027%,145 pm,141 pm,173 pm,P63/mmc,194,Stable,Stable,N/A,1S0,0.063,0.0001
Aluminum,Al,13,26.981538,2.7 g/cm3,660.32 °C,2519 °C,Solid,933.47 K,2792 K,N/A,N/A,10.7 kJ/mol,293 kJ/mol,904 J/(kg K)[note],N/A,N/A,235 W/(m K),0.0000231 K-1,2.375 g/cm3,9.99×10-6,245 MPa,2.75,167 MPa,76 GPa,26 GPa,70 GPa,0.35,N/A,5100 m/s,3,1.61,42.5 kJ/mol,4.3,1396,RTECSBD0330000,Aluminium,p,13,3,Poor Metal,[Ne]3s23p1,Silver,N/A,CAS7429-90-5,CID5359268,Conductor,3.8×107 S/m,2.6×10-8 m Ω,1.175,Paramagnetic,N/A,7.8×10-9 m3/Kg,2.1×10-10 m3/mol,0.0000211,0.005%,0.006%,0.9%,8.1%,5×10-7%,0.00009%,118 pm,121 pm,N/A,"Fm_
3m",225,Stable,Stable,N/A,2P1/2,0.233,0.03
Silicon,Si,14,28.0855,2.33 g/cm3,1414 °C,2900 °C,Solid,1687 K,3173 K,N/A,N/A,50.2 kJ/mol,359 kJ/mol,710 J/(kg K)[note],N/A,N/A,150 W/(m K),2.6×10-6 K-1,2.57 g/cm3,0.000012054,N/A,6.5,9630.1303 MPa[note],100 GPa,N/A,47 GPa,N/A,N/A,2200 m/s,4,1.9,133.6 kJ/mol,4.1,1346,RTECSVW0400000,None,p,14,3,Metalloid,[Ne]3s23p2,Gray,N/A,CAS7440-21-3,CID5461123,Semiconductor,1000 S/m,0.001 m Ω,N/A,Diamagnetic,N/A,-1.6×10-9 m3/Kg,-4.49×10-11 m3/mol,-3.73×10-6,0.07%,0.09%,14%,27%,0.0001%,0.026%,111 pm,111 pm,210 pm,"Fd_
3m",227,Stable,Stable,N/A,3P0,0.166,0.0002
Phosphorus,P,15,30.973761,1.823 g/cm3,44.2 °C[note],280.5 °C[note],Solid,317.3 K[note],553.6 K[note],N/A,N/A,0.64 kJ/mol,12.4 kJ/mol,769.7 J/(kg K)[note],N/A,N/A,0.236 W/(m K),N/A,N/A,0.000016991,N/A,N/A,N/A,11 GPa,N/A,N/A,N/A,1.001212,N/A,5,2.19,71 kJ/mol,4.1,"1338, 1381, 2447",RTECSTH3495000,None,p,15,3,Nonmetal,[Ne]3s23p3,Colorless,N/A,CAS7723-14-0,CID5462309,Conductor,1×107 S/m,1×10-7 m Ω,N/A,Diamagnetic,N/A,-1.13×10-8 m3/Kg,-3.5×10-10 m3/mol,-0.0000206,0.0007%,0.0007%,0.11%,0.099%,7×10-6%,1.1%,98 pm,107 pm,180 pm,P-1,2,Stable,Stable,N/A,4S3/2,0.18,0.0002
Sulfur,S,16,32.065,1.96 g/cm3,115.21 °C[note],444.72 °C,Solid,388.36 K[note],717.87 K,20.7 MPa (204.3 Atm),1314 K,1.73 kJ/mol,9.8 kJ/mol,705 J/(kg K)[note],N/A,N/A,0.205 W/(m K),N/A,1.819 g/cm3,0.000016357,N/A,2,N/A,7.7 GPa,N/A,N/A,N/A,1.001111,N/A,6,2.58,200 kJ/mol,N/A,N/A,RTECSWS4250000,Sulphur,p,16,3,Chalcogen,[Ne]3s23p4,Yellow,N/A,CAS7704-34-9,CID5362487,Insulator,1×10-15 S/m,1×1015 m Ω,N/A,Diamagnetic,N/A,-6.2×10-9 m3/Kg,-1.99×10-10 m3/mol,-0.0000122,0.05%,0.04%,4%,0.042%,0.093%,0.2%,87 pm,105 pm,180 pm,Fddd,70,Stable,Stable,N/A,3P2,0.52,0.00055
Chlorine,Cl,17,35.453,3.214 g/l[note],-101.5 °C,-34.04 °C,Gas,171.6 K,239.11 K,7.991 MPa (78.87 Atm),416.9 K,3.2 kJ/mol,10.2 kJ/mol,478.2 J/(kg K)[note],7/5,N/A,0.0089 W/(m K),N/A,N/A,0.01103,N/A,N/A,N/A,1.1 GPa,N/A,N/A,N/A,1.000773,206 m/s,5,3.16,349 kJ/mol,N/A,N/A,RTECSFO2100000,None,p,17,3,Halogen,[Ne]3s23p5,Yellow,Diatomic,CAS7782-50-5,CID24526,Insulator,0.01 S/m,100 m Ω,N/A,Diamagnetic,N/A,-7.2×10-9 m3/Kg,-5.11×10-10 m3/mol,-2.31×10-8,0.0001%,0.0008%,0.037%,0.017%,2%,0.12%,79 pm,102 pm,175 pm,Cmca,64,Stable,Stable,N/A,2P3/2,35.3,0.033
Argon,Ar,18,39.948,1.784 g/l[note],-189.3 °C,-185.8 °C,Gas,83.8 K,87.3 K,4.898 MPa (48.34 Atm),150.87 K,1.18 kJ/mol,6.5 kJ/mol,520.33 J/(kg K)[note],5/3,N/A,0.01772 W/(m K),N/A,N/A,0.022392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000281,319 m/s,0,N/A,0 kJ/mol,2.2,1951,RTECSCF2300000,None,p,18,3,Noble Gas,[Ne]3s23p6,Colorless,Monoatomic,CAS7440-37-1,CID23968,N/A,N/A,N/A,N/A,Diamagnetic,N/A,-6×10-9 m3/Kg,-2.4×10-10 m3/mol,-1.07×10-8,0.02%,0.007%,N/A,0.00015%,0.000045%,N/A,71 pm,106 pm,188 pm,"Fm_
3m",225,Stable,Stable,N/A,1S0,0.66,0.00059
Potassium,K,19,39.0983,0.856 g/cm3,63.38 °C,759 °C,Solid,336.53 K,1032 K,16 MPa (157.9 Atm)[note],2223 K[note],2.33 kJ/mol,76.9 kJ/mol,757 J/(kg K)[note],N/A,N/A,100 W/(m K),N/A,0.828 g/cm3,0.00004568,0.363 MPa,0.4,N/A,3.1 GPa,1.3 GPa,N/A,N/A,N/A,2000 m/s,1,0.82,48.4 kJ/mol,4.3,2257,RTECSTS6460000,Kalium,s,1,4,Alkali Metal,[Ar]4s1,Silver,N/A,CAS7440-09-7,CID5462222,Conductor,1.4×107 S/m,7.000000000002×10-8 m Ω,N/A,Paramagnetic,N/A,6.7×10-9 m3/Kg,2.62×10-10 m3/mol,5.74×10-6,0.0003%,0.0004%,0.07%,1.5%,0.042%,0.2%,243 pm,203 pm,275 pm,"Im_
3m",229,Stable,Stable,N/A,2S1/2,2.1,0.0018
Calcium,Ca,20,40.078,1.55 g/cm3,842 °C,1484 °C,Solid,1115 K,1757 K,N/A,N/A,8.54 kJ/mol,155 kJ/mol,631 J/(kg K)[note],N/A,N/A,200 W/(m K),0.0000223 K-1,1.378 g/cm3,0.000025857,167 MPa,1.75,N/A,17 GPa,7.4 GPa,20 GPa,0.31,N/A,3810 m/s,2,1,2.37 kJ/mol,4.2,1855,N/A,None,s,2,4,Alkaline Earth Metal,[Ar]4s2,Silver,N/A,CAS7440-70-2,CID5460341,Conductor,2.9×107 S/m,3.399999999999×10-8 m Ω,N/A,Paramagnetic,N/A,1.38×10-8 m3/Kg,5.531×10-10 m3/mol,0.00002139,0.007%,0.007%,1.1%,5%,0.00042%,1.4%,194 pm,176 pm,N/A,"Fm_
3m",225,Stable,Stable,N/A,1S0,0.43,0.00037
Scandium,Sc,21,44.95591,2.985 g/cm3,1541 °C,2830 °C,Solid,1814 K,3103 K,N/A,N/A,16 kJ/mol,318 kJ/mol,567 J/(kg K)[note],N/A,N/A,16 W/(m K),0.0000102 K-1,2.8 g/cm3,0.000015061,750 MPa,N/A,N/A,57 GPa,29 GPa,74 GPa,0.28,N/A,N/A,3,1.36,18.1 kJ/mol,4.1,3089,N/A,None,d,3,4,Transition Metal,[Ar]4s23d1,Silver,N/A,CAS7440-20-2,CID23952,Conductor,1.8×106 S/m,5.5×10-7 m Ω,0.05,Paramagnetic,N/A,8.8×10-8 m3/Kg,3.956×10-9 m3/mol,0.0002627,3×10-6%,4×10-6%,0.00064%,0.0026%,1.5×10-10%,N/A,184 pm,170 pm,N/A,P63/mmc,194,Stable,Stable,N/A,2D3/2,27.2,0.025
Titanium,Ti,22,47.867,4.507 g/cm3,1668 °C,3287 °C,Solid,1941 K,3560 K,N/A,N/A,18.7 kJ/mol,425 kJ/mol,520 J/(kg K)[note],N/A,N/A,22 W/(m K),8.6×10-6 K-1,4.11 g/cm3,0.000010621,715 MPa,6,970 MPa,110 GPa,44 GPa,116 GPa,0.32,N/A,4140 m/s,4,1.54,7.6 kJ/mol,4.2,2546,N/A,None,d,4,4,Transition Metal,[Ar]4s23d2,Silver,N/A,CAS7440-32-6,CID23963,Conductor,2.5×106 S/m,4×10-7 m Ω,0.4,Paramagnetic,N/A,4.01×10-8 m3/Kg,1.919×10-9 m3/mol,0.0001807,0.0003%,0.0004%,0.054%,0.66%,1×10-7%,N/A,176 pm,160 pm,N/A,P63/mmc,194,Stable,Stable,N/A,3F2,6.1,0.0044
Vanadium,V,23,50.9415,6.11 g/cm3,1910 °C,3407 °C,Solid,2183 K,3680 K,N/A,N/A,22.8 kJ/mol,453 kJ/mol,489 J/(kg K)[note],N/A,N/A,31 W/(m K),8.4×10-6 K-1,5.5 g/cm3,8.3374×10-6,628 MPa,7,628 MPa,160 GPa,47 GPa,128 GPa,0.37,N/A,4560 m/s,5,1.63,50.6 kJ/mol,4.1,3089,N/A,None,d,5,4,Transition Metal,[Ar]4s23d3,Silver,N/A,CAS7440-62-2,CID23990,Conductor,5×106 S/m,2×10-7 m Ω,5.4,Paramagnetic,N/A,6.28×10-8 m3/Kg,3.199×10-9 m3/mol,0.0003837,0.0001%,0.00004%,0.0061%,0.019%,1.5×10-7%,3×10-6%,171 pm,153 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,4F3/2,5.06,0.0033
Chromium,Cr,24,51.9961,7.19 g/cm3,1907 °C,2671 °C,Solid,2180 K,2944 K,N/A,N/A,20.5 kJ/mol,339 kJ/mol,448 J/(kg K)[note],N/A,393 K,94 W/(m K),4.9×10-6 K-1,6.3 g/cm3,7.2317×10-6,1120 MPa,8.5,1060 MPa,160 GPa,115 GPa,279 GPa,0.21,N/A,5940 m/s,6,1.66,64.3 kJ/mol,4.1,3089,RTECSGB4200000,None,d,6,4,Transition Metal,[Ar]4s13d5,Silver,N/A,CAS7440-47-3,CID23976,Conductor,7.9×106 S/m,1.3×10-7 m Ω,N/A,Antiferromagnetic,N/A,4.45×10-8 m3/Kg,2.314×10-9 m3/mol,0.0003177,0.0015%,0.002%,0.3%,0.014%,6×10-8%,3×10-6%,166 pm,139 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,7S3,3.1,0.0021
Manganese,Mn,25,54.938049,7.47 g/cm3,1246 °C,2061 °C,Solid,1519 K,2334 K,N/A,N/A,13.2 kJ/mol,220 kJ/mol,479 J/(kg K)[note],N/A,100 K,7.7 W/(m K),0.0000217 K-1,5.95 g/cm3,7.3545×10-6,196 MPa,6,N/A,120 GPa,N/A,198 GPa,N/A,N/A,5150 m/s,4,1.55,0 kJ/mol,4.1,3089,N/A,None,d,7,4,Transition Metal,[Ar]4s23d5,Silver,N/A,CAS7439-96-5,CID23930,Conductor,620000 S/m,1.6×10-6 m Ω,N/A,Paramagnetic,N/A,1.21×10-7 m3/Kg,6.6475×10-9 m3/mol,0.00090387,0.0008%,0.001%,0.27%,0.11%,2×10-7%,0.00002%,161 pm,139 pm,N/A,"I_
43m",217,Stable,Stable,N/A,6S5/2,13.3,0.0083
Iron,Fe,26,55.845,7.874 g/cm3,1538 °C,2861 °C,Solid,1811 K,3134 K,N/A,N/A,13.8 kJ/mol,347 kJ/mol,449 J/(kg K)[note],N/A,N/A,79 W/(m K),0.0000118 K-1,6.98 g/cm3,7.0923×10-6,490 MPa,4,608 MPa,170 GPa,82 GPa,211 GPa,0.29,N/A,4910 m/s,3,1.83,15.7 kJ/mol,4.1,3089,RTECSNO4565500,Ferrum,d,8,4,Transition Metal,[Ar]4s23d6,Gray,N/A,CAS7439-89-6,CID23925,Conductor,1×107 S/m,9.700000000001×10-8 m Ω,N/A,Ferromagnetic,1043 K,N/A,N/A,N/A,0.11%,0.1%,22%,6.3%,3×10-7%,0.006%,156 pm,132 pm,N/A,"Im_
3m",229,Stable,Stable,N/A,5D4,2.56,0.0015
Cobalt,Co,27,58.9332,8.9 g/cm3,1495 °C,2927 °C,Solid,1768 K,3.2×103 K,N/A,N/A,16.2 kJ/mol,375 kJ/mol,421 J/(kg K)[note],N/A,N/A,100 W/(m K),0.000013 K-1,7.75 g/cm3,6.62×10-6,700 MPa,5,1043 MPa,180 GPa,76 GPa,209 GPa,0.31,N/A,4720 m/s,4,1.88,63.7 kJ/mol,4.1,3089,RTECSGF8750000,None,d,9,4,Transition Metal,[Ar]4s23d7,Gray,N/A,CAS7440-48-4,CID104730,Conductor,1.7×107 S/m,6.000000000002×10-8 m Ω,N/A,Ferromagnetic,1394 K,N/A,N/A,N/A,0.0003%,0.0004%,0.059%,0.003%,8×10-9%,2×10-6%,152 pm,126 pm,N/A,P63/mmc,194,Stable,Stable,N/A,4F9/2,37.2,0.021
Nickel,Ni,28,58.6934,8.908 g/cm3,1455 °C,2913 °C,Solid,1728 K,3186 K,N/A,N/A,17.2 kJ/mol,378 kJ/mol,445 J/(kg K)[note],N/A,N/A,91 W/(m K),0.0000134 K-1,7.81 g/cm3,6.5888×10-6,700 MPa,4,638 MPa,180 GPa,76 GPa,200 GPa,0.31,N/A,4970 m/s,2,1.91,112 kJ/mol,4.1,3089,RTECSQR5950000,None,d,10,4,Transition Metal,[Ar]4s23d8,Gray,N/A,CAS7440-02-0,CID935,Conductor,1.4×107 S/m,7.000000000002×10-8 m Ω,N/A,Ferromagnetic,631 K,N/A,N/A,N/A,0.006%,0.008%,1.3%,0.009%,2×10-7%,0.00001%,149 pm,124 pm,163 pm,"Fm_
3m",225,Stable,Stable,N/A,3F4,4.5,0.0026
Copper,Cu,29,63.546,8.96 g/cm3,1084.62 °C,2562 °C,Solid,1357.77 K,3.2×103 K,N/A,N/A,13.1 kJ/mol,300 kJ/mol,384.4 J/(kg K)[note],N/A,N/A,400 W/(m K),0.0000165 K-1,8.02 g/cm3,7.0922×10-6,874 MPa,3,369 MPa,140 GPa,48 GPa,130 GPa,0.34,N/A,3570 m/s,2,1.9,118.4 kJ/mol,4.1,3089,RTECSGL5325000,Cuprum,d,11,4,Transition Metal,[Ar]4s13d10,Copper,N/A,CAS7440-50-8,CID23978,Conductor,5.9×107 S/m,1.7×10-8 m Ω,N/A,Diamagnetic,N/A,-1.08×10-9 m3/Kg,-6.86×10-11 m3/mol,-9.63×10-6,6×10-6%,0.00007%,0.011%,0.0068%,3×10-7%,0.0001%,145 pm,132 pm,140 pm,"Fm_
3m",225,Stable,Stable,N/A,2S1/2,3.78,0.0021
Zinc,Zn,30,65.409,7.14 g/cm3,419.53 °C,907 °C,Solid,692.68 K,1180 K,N/A,N/A,7.35 kJ/mol,119 kJ/mol,388 J/(kg K)[note],N/A,N/A,120 W/(m K),0.0000302 K-1,6.57 g/cm3,9.157×10-6,412 MPa,2.5,N/A,70 GPa,43 GPa,108 GPa,0.25,1.00205,3700 m/s,2,1.65,0 kJ/mol,4.3,1436,RTECSZG8600000,None,d,12,4,Transition Metal,[Ar]4s23d10,SlateGray,N/A,CAS7440-66-6,CID23994,Conductor,1.7×107 S/m,5.900000000001×10-8 m Ω,0.85,Diamagnetic,N/A,-2.21×10-9 m3/Kg,-1.45×10-10 m3/mol,-0.0000158,0.00003%,0.0002%,0.018%,0.0078%,5×10-7%,0.0033%,142 pm,122 pm,139 pm,P63/mmc,194,Stable,Stable,N/A,1S0,1.1,0.00055
Gallium,Ga,31,69.723,5.904 g/cm3,29.76 °C,2204 °C,Solid,302.91 K,2477 K,N/A,N/A,5.59 kJ/mol,256 kJ/mol,371 J/(kg K)[note],N/A,N/A,29 W/(m K),0.00012 K-1,6.095 g/cm3,0.000011809,60 MPa,1.5,N/A,N/A,N/A,N/A,N/A,N/A,2740 m/s,3,1.81,28.9 kJ/mol,8,2803,RTECSLW8600000,None,p,13,4,Poor Metal,[Ar]4s23d104p1,Silver,N/A,CAS7440-55-3,CID5360835,Conductor,7.1×106 S/m,1.4×10-7 m Ω,1.083,Diamagnetic,N/A,-3×10-9 m3/Kg,-2.09×10-10 m3/mol,-0.0000177,1×10-6%,4×10-6%,0.00076%,0.0019%,3×10-9%,N/A,136 pm,122 pm,187 pm,Cmca,64,Stable,Stable,N/A,2P1/2,2.9,0.0015
