Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,DOT_Hazard_Class,DOT_Numbers,RTECS_Number,Alternate_Names,Block,Group,Period,Series,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption
Einsteinium,Es,99,252[note],N/A,860 °C,N/A,Solid,1133 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f11,N/A,N/A,CAS7429-92-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,1.292174023338 y,1.864535768645 y,AlphaEmission,5I15/2,160,N/A
Fermium,Fm,100,257[note],N/A,1527 °C,N/A,N/A,1.8×103 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f12,N/A,N/A,CAS7440-72-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,100.4976851852 d,145.0231481481 d,AlphaEmission,3H6,5.8×103,N/A
Mendelevium,Md,101,258[note],N/A,828 °C,N/A,N/A,1.1×103 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f13,N/A,N/A,CAS7440-11-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,51.50462962963 d,74.30555555556 d,AlphaEmission,2F7/2,N/A,N/A
Nobelium,No,102,259[note],N/A,828 °C,N/A,N/A,1.1×103 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1.3,N/A,N/A,N/A,N/A,None,f,N/A,7,Actinide,[Rn]7s25f14,N/A,N/A,CAS10028-14-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,2.777777777778 h,5.555555555556 h,AlphaEmission,1S0,N/A,N/A
Lawrencium,Lr,103,262[note],N/A,1627 °C,N/A,N/A,1.9×103 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,None,d,3,7,Transition Metal,[Rn]7s25f147p1,N/A,N/A,CAS22537-19-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,10 h,14.44444444444 h,AlphaEmission,2P1/2,N/A,N/A
Rutherfordium,Rf,104,261[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,None,d,4,7,Transition Metal,[Rn]7s25f146d2,N/A,N/A,CAS53850-36-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,13.05555555556 h,18.88888888889 h,AlphaEmission,3F2,N/A,N/A
Dubnium,Db,105,262[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,None,d,5,7,Transition Metal,[Rn]7s25f146d3[note],N/A,N/A,CAS53850-35-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,5.555555555556 h,8.333333333333 h,AlphaEmission,4F3/2[note],N/A,N/A
Seaborgium,Sg,106,266[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,None,d,6,7,Transition Metal,[Rn]7s25f146d4[note],N/A,N/A,CAS54038-81-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,1.944444444444 h,2.777777777778 h,AlphaEmission,5D0[note],N/A,N/A
Bohrium,Bh,107,264[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,None,d,7,7,Transition Metal,[Rn]7s25f146d5[note],N/A,N/A,CAS54037-14-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,1.5 h,2.166666666667 h,AlphaEmission,6S5/2[note],N/A,N/A
Hassium,Hs,108,277[note],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,d,8,7,Transition Metal,[Rn]7s25f146d6[note],N/A,N/A,CAS54037-57-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0%,0%,0%,0%,0%,N/A,N/A,N/A,N/A,N/A,1.111111111111 h,1.388888888889 h,AlphaEmission,5D4[note],N/A,N/A
